city,date,season,avg_temperature_c,precipitation_mm,top_soil_moisture,root_zone_moisture,year,month,month_name,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,apparent_temperature_max,precipitation_sum,windspeed_10m_max,max_temp_c,rainfall_mm,water_lost_to_evaporation_mm,net_water_balance_mm,drought_status,max_temperature_c,heat_index_c,aqi_pm25,est_load_shedding_hours,kse100_trade_volume,population_density,electricity_access_pct,clean_water_access_pct,poverty_rate_pct,literacy_rate_pct,water_consumption_lpd,hospital_admissions,reported_deaths,official_deaths,heatstroke_cases,peak_temp_celsius,data_source,primary_labor_sector,reported_heatstroke_admissions,ilo_labor_productivity_loss_percent,healthcare_burden_million_pkr,lost_labor_wages_million_pkr,power_provider,avg_monthly_shortfall_mw,estimated_daily_outage_hours,avg_max_temp_c,est_labor_productivity_loss_percent,est_agri_gdp_loss_bln_pkr,healthcare_burden_status,avg_humidity_pct,heat_stress_level,productivity_loss_percent,est_economic_loss_billion_pkr,methodology_source,peak_summer_shortfall_mw,avg_summer_temp_c,avg_root_moisture,official_yield_tonnes
karachi,2021-01-01,Winter (Dec-Jan),17.55,0.0,0.27,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-02,Winter (Dec-Jan),18.64,0.0,0.27,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-03,Winter (Dec-Jan),18.0,0.0,0.27,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-04,Winter (Dec-Jan),18.12,0.0,0.26,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-05,Winter (Dec-Jan),18.25,0.0,0.26,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-06,Winter (Dec-Jan),18.47,0.0,0.25,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-07,Winter (Dec-Jan),17.95,0.0,0.24,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-08,Winter (Dec-Jan),16.55,0.0,0.24,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-09,Winter (Dec-Jan),17.07,0.0,0.23,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-10,Winter (Dec-Jan),17.67,0.0,0.22,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
karachi,2021-01-11,Winter (Dec-Jan),18.92,0.0,0.22,0.46,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction & Transit,0,0.0,0.0,0.0,K-Electric,340,1,19.5,0.0,0.0,Baseline,65,Safe,0.0,0.0,ILO Labor Models (2019/2030); BMJ Global Health (2024),1200,,,
